route_id,route_short_name,agency_id,route_type
1,1,TGSRTC,3
10,10,TGSRTC,3
100B,100B,TGSRTC,3
100B/L,100B/L,TGSRTC,3
100B/S,100B/S,TGSRTC,3
100D,100D,TGSRTC,3
100D/L,100D/L,TGSRTC,3
100G,100G,TGSRTC,3
100G/L,100G/L,TGSRTC,3
100G/S,100G/S,TGSRTC,3
100H/S,100H/S,TGSRTC,3
100L,100L,TGSRTC,3
100L/D,100L/D,TGSRTC,3
100L/S,100L/S,TGSRTC,3
100M,100M,TGSRTC,3
100S,100S,TGSRTC,3
100SS,100SS,TGSRTC,3
100U,100U,TGSRTC,3
100V,100V,TGSRTC,3
100V/208,100V/208,TGSRTC,3
100X,100X,TGSRTC,3
101G/S,101G/S,TGSRTC,3
101K/D,101K/D,TGSRTC,3
102,102,TGSRTC,3
102/254K,102/254K,TGSRTC,3
102/277H,102/277H,TGSRTC,3
102B,102B,TGSRTC,3
102C,102C,TGSRTC,3
102J,102J,TGSRTC,3
102K,102K,TGSRTC,3
102M,102M,TGSRTC,3
102X,102X,TGSRTC,3
103,103,TGSRTC,3
103S,103S,TGSRTC,3
103U,103U,TGSRTC,3
104A,104A,TGSRTC,3
104A/218,104A/218,TGSRTC,3
104A/H,104A/H,TGSRTC,3
104H,104H,TGSRTC,3
104R,104R,TGSRTC,3
104R/127K,104R/127K,TGSRTC,3
104R/218,104R/218,TGSRTC,3
104R/K,104R/K,TGSRTC,3
104R/N,104R/N,TGSRTC,3
104R/T,104R/T,TGSRTC,3
104X,104X,TGSRTC,3
105/218,105/218,TGSRTC,3
107J/L,107J/L,TGSRTC,3
107J/S,107J/S,TGSRTC,3
107M,107M,TGSRTC,3
107R,107R,TGSRTC,3
107S,107S,TGSRTC,3
107TV,107TV,TGSRTC,3
107V/G,107V/G,TGSRTC,3
107V/L,107V/L,TGSRTC,3
107VR,107VR,TGSRTC,3
107V/S,107V/S,TGSRTC,3
10A/S,10A/S,TGSRTC,3
10F,10F,TGSRTC,3
10F/V,10F/V,TGSRTC,3
10H,10H,TGSRTC,3
10H/220K,10H/220K,TGSRTC,3
10HH,10HH,TGSRTC,3
10H/W,10H/W,TGSRTC,3
10HW,10HW,TGSRTC,3
10J/B,10J/B,TGSRTC,3
10J/P,10J/P,TGSRTC,3
10K,10K,TGSRTC,3
10K/B,10K/B,TGSRTC,3
10KH,10KH,TGSRTC,3
10K/J,10K/J,TGSRTC,3
10K/M,10K/M,TGSRTC,3
10KM/224G,10KM/224G,TGSRTC,3
10K/S,10K/S,TGSRTC,3
10S/K,10S/K,TGSRTC,3
10X,10X,TGSRTC,3
10XK,10XK,TGSRTC,3
10XS,10XS,TGSRTC,3
10Y/F,10Y/F,TGSRTC,3
10Y/F/16,10Y/F/16,TGSRTC,3
10Y/S,10Y/S,TGSRTC,3
10Y/X,10Y/X,TGSRTC,3
113A/G,113A/G,TGSRTC,3
113F,113F,TGSRTC,3
113I/M,113I/M,TGSRTC,3
113K,113K,TGSRTC,3
113K/L,113K/L,TGSRTC,3
113K/M,113K/M,TGSRTC,3
113K/P,113K/P,TGSRTC,3
113K/S,113K/S,TGSRTC,3
113M,113M,TGSRTC,3
113M/216,113M/216,TGSRTC,3
113M/217,113M/217,TGSRTC,3
113M/D,113M/D,TGSRTC,3
113M/G,113M/G,TGSRTC,3
113M/M,113M/M,TGSRTC,3
113M/P,113M/P,TGSRTC,3
113M/W,113M/W,TGSRTC,3
113Y/K,113Y/K,TGSRTC,3
115,115,TGSRTC,3
115A/D,115A/D,TGSRTC,3
115B,115B,TGSRTC,3
115K,115K,TGSRTC,3
115R,115R,TGSRTC,3
116G,116G,TGSRTC,3
116G/220E,116G/220E,TGSRTC,3
116G/220K,116G/220K,TGSRTC,3
116H,116H,TGSRTC,3
116J,116J,TGSRTC,3
116N,116N,TGSRTC,3
116N/220K,116N/220K,TGSRTC,3
116N/L,116N/L,TGSRTC,3
116NL,116NL,TGSRTC,3
116X,116X,TGSRTC,3
117,117,TGSRTC,3
118M,118M,TGSRTC,3
118X,118X,TGSRTC,3
120,120,TGSRTC,3
1/203A,1/203A,TGSRTC,3
